wyear,wymon,calyear,calmon,stor,rch,run,aet,cwd,tmax,tmin,ppt,pet,exc
1992,4,1992,1,143.97000122,14.989999771,0.75,56.220001221,0,20.329999924,5.7100000381,75.370002747,56.380001068,\N
1992,5,1992,2,164.8999939,69.779998779,139.30999756,71.300003052,0,17.61000061,7.0100002289,297.6499939,71.290000916,\N
1992,6,1992,3,163.72000122,23.489999771,8.3500003815,101.72000122,0,26,5.8200001717,130.94999695,101.79000092,\N
1992,7,1992,4,99.180000305,0,0,67.019996643,73.900001526,23.88999939,10.050000191,2.4200000763,140.8999939,\N
1992,8,1992,5,92.970001221,0,0,8.8100004196,155.53999329,23.239999771,12.460000038,2.5499999523,164.3999939,\N
1992,9,1992,6,92.940002441,0,0,0.5,165.72999573,22.909999847,12.050000191,0.4699999988,166.32000732,\N
1992,10,1992,7,92.940002441,0,0,4.5900001526,178.46000671,15.029999733,14.069999695,4.5500001907,183.17999268,\N
1992,11,1992,8,92.940002441,0,0,0,169.3999939,22.170000076,14.050000191,0,169.33999634,\N
1992,12,1992,9,92.940002441,0,0,1.5499999523,130.3500061,25.829999924,13.130000114,1.5199999809,131.86999512,\N
1993,1,1992,10,92.940002441,0,0,35.409999847,68.589996338,27.399999619,11.960000038,35.080001831,103.93000031,\N
1993,2,1992,11,92.940002441,0,0,0.2800000012,69.760002136,21.690000534,8.0799999237,0.2800000012,70.040000916,\N
1993,3,1992,12,144.36000061,29.819999695,24.020000458,48.919998169,0,15.920000076,4.9699997902,153.27000427,49.36000061,\N
1993,4,1993,1,165.94999695,73.419998169,161.55999756,55.479999542,0,18.719999313,5.0799999237,308.25,55.61000061,\N
1993,5,1993,2,167.50999451,77.650001526,105.48000336,64.379997253,0,18.450000763,8.8100004196,246.36999512,64.540000916,\N
1993,6,1993,3,165.55999756,25.420000076,13.340000153,108.27999878,0,23.879999161,8.8199996948,142.82000732,108.26000214,\N
1993,7,1993,4,101.66999817,0,0,65.199996948,70.410003662,23.979999542,8.779999733,1.2899999619,135.61000061,\N
1993,8,1993,5,93.220001221,0,0,12.390000343,148.42999268,24.700000763,10.170000076,3.8900001049,160.88000488,\N
1993,9,1993,6,92.940002441,0,0,11.920000076,157.58999634,22.180000305,11.649999619,11.539999962,169.55000305,\N
